title,artist,album,year,duration,tags
Forever Young - From The McDonald's Christmas Advert 2020,Becky Hill,Forever Young (From The McDonald's Christmas Advert 2020),2020,178283,Xmas
Christmas Without You,Ava Max,Christmas Without You,2020,169244,Xmas
It's the Most Wonderful Time of the Year,Andy Williams,The Andy Williams Christmas Album,1963,151932,Xmas
Santa Tell Me,Ariana Grande,Santa Tell Me,2014,204092,Xmas
Shake Up Christmas,Train,"Save Me, San Francisco (Golden Gate Edition)",2010,232212,Xmas
Christmas Tree Farm,Taylor Swift,Christmas Tree Farm,2019,228025,Xmas
Last Christmas,Wham!,Twenty Five,2006,267160,Xmas
Underneath the Mistletoe,Sia,Everyday Is Christmas (Deluxe Edition),2018,230185,Xmas
Underneath the Christmas Lights,Sia,Everyday Is Christmas (Deluxe Edition),2018,216572,Xmas
Snowman,Sia,Everyday Is Christmas (Deluxe Edition),2018,165905,Xmas
Merry Christmas Everyone,Shakin' Stevens,Merry Christmas Everyone,1991,220159,Xmas
Everyday Is Christmas,Sia,Everyday Is Christmas (Deluxe Edition),2018,203665,Xmas
Ho Ho Ho,Sia,Everyday Is Christmas (Deluxe Edition),2018,205625,Xmas
Santa's Coming for Us,Sia,Everyday Is Christmas (Deluxe Edition),2018,205265,Xmas
Snowflake,Sia,Everyday Is Christmas (Deluxe Edition),2018,242865,Xmas
Round and Round,Sia,Everyday Is Christmas (Deluxe Edition),2018,149399,Xmas
Amazing Grace (My Chains Are Gone),Pentatonix,We Need A Little Christmas,2020,265399,Xmas
Santa Claus Is Coming to Town,Michael Bublé,Christmas (Deluxe Special Edition),2012,171092,Xmas
It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),2012,206638,Xmas
I'll Be Home for Christmas,Michael Bublé,Christmas (Deluxe Special Edition),2011,267607,Xmas
Holly Jolly Christmas,Michael Bublé,Christmas (Deluxe Special Edition),2012,119785,Xmas
My Kind Of Present,Meghan Trainor,A Very Trainor Christmas,2020,161013,Xmas
O Holy Night,Mariah Carey,Merry Christmas,1994,266932,Xmas
All I Want for Christmas Is You,Mariah Carey,Merry Christmas,1994,241105,Xmas
All I Want (For Christmas),Liam Payne,All I Want (For Christmas),2019,181143,Xmas
Naughty List,"Liam Payne, Dixie D’Amelio",Naughty List (with Dixie D’Amelio),2020,154745,Xmas
Silent Night,Mariah Carey,Merry Christmas,1994,219292,Xmas
The Christmas Song (Chestnuts Roasting On An Open Fire),"Justin Bieber, Usher",Under The Mistletoe (Deluxe Edition),2011,215159,Xmas
One More Sleep,Leona Lewis,Christmas Hits,2019,233992,Xmas
Mistletoe,Justin Bieber,Under The Mistletoe (Deluxe Edition),2011,182945,Xmas
Underneath the Tree,Kelly Clarkson,Wrapped In Red,2013,229639,Xmas
Wrapped in Red,Kelly Clarkson,Wrapped In Red,2013,216905,Xmas
Cozy Little Christmas,Katy Perry,Cozy Little Christmas,2018,182520,Xmas
Like It's Christmas,Jonas Brothers,Like It's Christmas,2019,200880,Xmas
Please Come Home for Christmas - 2013 Remaster,Eagles,Please Come Home for Christmas / Funky New Year (2013 Remaster),,177439,Xmas
Christmas Love,Justin Bieber,Under The Mistletoe (Deluxe Edition),2011,206786,Xmas
Christmas Lights,Coldplay,Christmas Lights,2010,242495,Xmas
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,A Winter Romance,1959,117145,Xmas
I Need You Christmas,Jonas Brothers,I Need You Christmas,2020,206065,Xmas
Have Yourself a Merry Little Christmas,Christina Aguilera,My Kind Of Christmas,2000,243132,Xmas
"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge, Meghan Trainor",Glow,2016,173559,Xmas
This Christmas,Christina Aguilera,My Kind Of Christmas,2000,241505,Xmas
Rockin' Around The Christmas Tree,Brenda Lee,Merry Christmas From Brenda Lee,1964,126265,Xmas
Jingle Bell Rock,Bobby Helms,The Classic Years: 1956-1962,1992,130890,Xmas
Boldognak Lenni,Soulwave,Boldognak Lenni,2020,207669,Magyar
Sing It Back,"Pete Tong, The Heritage Orchestra, Jules Buckley, Becky Hill",Pete Tong Ibiza Classics,2017,281212,Recurrent 1
Kicsit őrült,"Pápai Joci, Lotfi Begi",Kicsit őrült,2020,212000,Current;Magyar
Regardless,"RAYE, Rudimental",Euphoric Sad Songs,2020,197572,Featured
On My Own,Phil Soda,On My Own,2020,141423,TOP
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",United,1967,151665,Gold;Nem játszandó
Prisoner,"Miley Cyrus, Dua Lipa",Prisoner (feat. Dua Lipa),2020,169332,Featured
F**kin' Perfect,P!nk,Greatest Hits...So Far!!!,2010,213412,Bonus
Lélegzem,Nika,Lélegzem,2015,216334,Magyar
Mire vársz?,Konyha,Mire vársz?,2020,154000,Magyar
Really Love,"KSI, Craig David, Digital Farm Animals",Really Love (feat. Craig David & Digital Farm Animals),2020,177500,TOP
Hymn for the Weekend,Coldplay,A Head Full of Dreams,2015,258265,Recurrent 1
Lonely,"Justin Bieber, benny blanco",Lonely (with benny blanco),2020,149296,Current
Love Not War (The Tampa Beat),"Jason Derulo, Nuka",Love Not War (The Tampa Beat),2020,192921,Featured
Paradise,Coldplay,Mylo Xyloto,2011,278639,Bonus;Nem játszandó
Impossible,James Arthur,James Arthur (Deluxe),2013,209439,Recurrent 2
Évszakok,"DR BRS, Berkes Olivér",Évszakok,2020,224363,Magyar
Every Teardrop Is a Waterfall,Coldplay,Mylo Xyloto,2011,240795,Bonus
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,2015,263785,Recurrent 2
Therefore I Am,Billie Eilish,Therefore I Am,2020,174320,Featured
My Head & My Heart,Ava Max,Heaven & Hell,2020,174760,Featured
Life Goes On,BTS,BE,2020,207481,Recurrent 1
Set Fire to the Rain,Adele,21,2011,242972,Recurrent 2
The Boy Does Nothing,Alesha Dixon,The Boy Does Nothing,2008,214905,Bonus
Hey Boy,Sia,Hey Boy,2020,149468,Current
SO DONE,The Kid LAROI,SO DONE,2020,126520,TOP
Little Help,"The BossHoss, Mimi & Josy",Little Help,2019,228119,Recurrent 1
Monster,"Shawn Mendes, Justin Bieber",Monster,2020,178993,Featured
Fekete rúzs,Zséda,Rouge,,235505,Magyar;Ritka
Visz a vérem,"VALMAR, Bruno X Spacc, Manuel",Visz a vérem,2020,187440,Magyar
Gold,"Valentino Khan, Sean Paul",Major Lazer Presents: Give Me Future (Music From & Inspired by the Film),2017,194715,Recurrent 1
Shut Up And Drive,Rihanna,Good Girl Gone Bad: Reloaded,2008,212279,Bonus;Morning
Angels On My Side,Rick Astley,50,2016,215686,Recurrent 1
Get Out My Head,Shane Codd,Get Out My Head,2020,204932,Featured
Fever,"Dua Lipa, Angčle",Fever,2020,156910,TOP
Plain,"BENEE, Lily Allen, Flo Milli",Plain (feat. Lily Allen & Flo Milli),2020,231897,Recurrent 1
Memories,"DMNDS, LIUUC, Tny",Memories,2020,143059,Mix;Recurrent 1
Ain't That Just The Way,"Charming Horses, Lutricia McNeal",Ain't That Just The Way,2020,175758,Current
Unstoppable,China Anne McClain,A.N.T. Farm,2011,202785,Recurrent 2
positions,Ariana Grande,positions,2020,172323,Current
motive,"Ariana Grande, Doja Cat",Positions,2020,167988,Recurrent 1
Don't Say Goodbye,Alok/Ilkay Sencan/Tove Lo,Don't Say Goodbye (feat. Tove Lo),2020,186699,TOP
Tell Me Why - Radio Edit,Sound Of Legend,Tell Me Why,2019,195580,Mix
Spicy,"Ty Dolla $ign, Post Malone",Spicy (feat. Post Malone),2020,144026,Bonus
34+35,Ariana Grande,Positions,2020,173710,Recurrent 1
off the table,"Ariana Grande, The Weeknd",Positions,2020,239908,Bonus
Sweet Melody,Little Mix,Sweet Melody,2020,213692,Featured
WOW,"Matoma, Emma Steinbakken",WOW (with Emma Steinbakken),2020,193845,Recurrent 1
Too Much,"Marshmello, Imanbek, Usher",Too Much (feat. Usher),2020,165703,Recurrent 1
Kids Again,Sam Smith,Love Goes,2020,207527,Recurrent 1
Sucks To Be You,SAINt JHN,Sucks To Be You,2020,222052,Recurrent 1
Paradise,"MEDUZA, Dermot Kennedy",Paradise,2020,167902,Featured
BICHOTA,KAROL G,BICHOTA,2020,178945,Bonus
Lie Like This,Julia Michaels,Lie Like This,2020,218381,TOP
You,"James Arthur, Travis Barker",YOU,2019,231452,Recurrent 1
Lemonade,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",2020,195427,TOP
Golden,Harry Styles,Fine Line,2019,208905,Featured
Rolling Stone,"Laidback Luke, David Goncalves",Rolling Stone,2020,185689,Current
Nightmares,Easy Life,Nightmares,2018,207002,TOP
Levitating,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),2020,203063,Current
"Szeretni, akit nem lehet",Halott Pénz/Rúzsa Magdi,"Szeretni, akit nem lehet",2020,189089,Current;Magyar
Kivetett,Follow The Flow,Kivetett,2020,214016,Current;Magyar
Dream On Me,Ella Henderson/Roger Sanchez,Dream On Me,2020,182275,Current
"Neked én, nekem nem te",Rácz Gergő/Oliver From Earth,"Neked én, nekem nem te",2020,175635,Current;Magyar
Fingertips,Tom Gregory,Fingertips,2020,165429,Current
The Business,Tiësto,The Business,2020,164046,Current
Faraway - Remix,Robinson Valentti,Faraway (Remix),2018,368046,P1
Use Your Love,Sam Feldt/The Him/GoldFord,Use Your Love (feat. Goldford),2020,174766,Current
Wonder,Shawn Mendes,Wonder,2020,172738,Current
I Follow Your Heartbeat (COE Remix),Tellow/Klara Larsson,I Follow Your Heartbeat,2019,180519,TOP
I Follow Your Heartbeat,Tellow/Klara Larsson,I Follow Your Heartbeat,2019,177299,Recurrent 1
Courage to Change,Sia,Courage to Change,2020,292702,TOP
Not a Pop Song,Little Mix,Not a Pop Song,2020,179459,Current
Deep End,John Summit,Deep End,2020,156256,Current
2AM,MK/Carla Monroe,2AM (feat. Carla Monroe),2020,182446,Current
911,Lady Gaga,Chromatica,2020,172179,Recurrent 1
Language - UK Edit,Porter Robinson,Language (Remixes),2012,199543,Recurrent 2
Heaven,Dave Emanuel/Lisa May,Heaven,2015,354144,Mix
i miss u,"Jax Jones, Au/Ra",i miss u (with Au/Ra),2020,172189,Current
Lemonade,Internet Money/Gunna/Don Toliver/NAV,B4 The Storm,2020,216236,Bonus
First Time,Daya,First Time,2020,146956,TOP
"i hate u, i love u - Robin Schulz Remix",gnash/Olivia O'Brien,"i hate u, i love u (feat. olivia o'brien) [Robin Schulz Remix]",2016,335574,Recurrent 1
Douha (Mali Mali),Disclosure/Fatoumata Diawara,Douha (Mali Mali),2020,171632,Current
Deep End,Fousheé,Deep End,2020,141269,Recurrent 1
Love You Now,Cash Cash/Georgia Ku,Love You Now (feat. Georgia Ku),2020,175821,Recurrent 1
Take You To Hell,Ava Max,Heaven & Hell,2020,164583,TOP
"Baby, I'm Jealous",Bebe Rexha/Doja Cat,"Baby, I'm Jealous (feat. Doja Cat)",2020,175919,Current
Bet You Wanna,BLACKPINK/Cardi B,THE ALBUM,2020,159219,TOP
H.E.A.V.E.N,Ava Max,Heaven & Hell,2020,106229,Recurrent 1
Space,Becky Hill,Space,2020,197595,TOP
Daisy,Ashnikko,Daisy,2020,146569,TOP
Never Forget You,Zara Larsson/MNEK,So Good,2017,213473,Recurrent 1
WOW,Zara Larsson,WOW,2019,179721,TOP
Thief,Ansel Elgort,Thief,2017,220726,Recurrent 1
FRANCHISE - REMIX,Travis Scott/Future/Young Thug/M.I.A.,"FRANCHISE (feat. Future, Young Thug & M.I.A.) [REMIX]",2020,207440,Bonus
Alien - Topic Remix,Dennis Lloyd/Topic,Alien (Topic Remix),2020,159973,Mix
Ahol a város őrzi a Dunát,Keresztes Ildikó,Budapest Dal 2018,2018,231026,Magyar
Levitating,Dua Lipa,Future Nostalgia,2020,203853,P1
Magic,Kylie Minogue,Magic,2020,250726,TOP
Numb,Elderbrook,Numb,2020,230086,Featured
Follow,Klangkarussell/GIVVEN,Follow,2020,212746,TOP
One Too Many,Keith Urban/P!nk,One Too Many,2020,203939,Current
you broke me first - Luca Schreiner Remix,Tate McRae/Luca Schreiner,you broke me first (Luca Schreiner Remix),2020,192330,Mix
At Least I Had Fun,Martin Jensen/RANI,At Least I Had Fun,2020,170659,Current
you broke me first,Tate McRae,you broke me first,2020,169311,Current
Loose,S1mba/KSI,Loose (feat. KSI),2020,152482,Recurrent 1
Bad Boy - Torren Foot Remix,Yung Bae/Torren Foot/bbno$,Bad Boy (feat. bbno$) [Torren Foot Remix],2020,158004,Mix
Gecko (Overdrive),Oliver Heldens/Becky Hill,Gecko (Overdrive),2014,165486,Recurrent 2
Boys Ain't Shit - Joe Stone Remix,SAYGRACE/Joe Stone,Boys Ain't Shit,2020,167586,Mix
Higher Ground,Martin Garrix/John Martin,Higher Ground (feat. John Martin),2020,206325,TOP
Used To Love - Bart B More Remix,Martin Garrix/Dean Lewis/Bart B More,2019 Remixed,2019,178617,Mix
Holy,Justin Bieber/Chance the Rapper,Holy,2020,212139,Current
Naked,Ava Max,Heaven & Hell,2020,222140,Recurrent 1
Back To My Bed,Elderbrook,Back To My Bed,2020,202152,TOP
Too Many Nights,220 KID/JC Stewart,Too Many Nights,2020,188615,Current
Me x 7,Alicia Keys/Tierra Whack,ALICIA,2020,213019,TOP
What Love Is,Tom Gregory,Heaven in a World so Cold,2020,194332,Current
Diamonds,Sam Smith,Diamonds,2020,213915,Current
Hot Stuff,Kygo/Donna Summer,Hot Stuff,2020,199053,Current
Blueberry Eyes,MAX/SUGA,Blueberry Eyes (feat. SUGA of BTS),2020,172290,Current
OK Not To Be OK,Marshmello/Demi Lovato,,2020,160914,Current
